No,Hasil,Waktu (detik)
1,true,1.0890
2,true,0.3040
3,true,6.1440
4,true,0.4110
5,true,0.7150
6,true,0.9210
7,true,0.4090
8,true,5.9400
9,true,0.5120
10,true,6.5520
11,true,8.6810
12,true,4.9390
13,true,4.0850
14,true,2.8370
15,true,0.7730
16,true,5.7180
17,true,2.1510
18,true,7.0650
19,true,7.6800
20,true,0.2040
21,true,0.2050
22,true,0.8000
23,true,1.7610
24,true,0.3960
25,true,2.6750
26,true,2.7420
27,true,3.6430
28,true,0.3250
29,true,0.4580
30,true,4.3010
31,true,0.9210
32,true,6.4510
33,true,5.9150
34,true,0.6380
35,true,0.1950
36,true,2.7120
37,true,0.1300
38,true,11.7080
39,true,0.6110
40,true,0.5140
41,true,0.6330
42,true,0.2880
43,true,0.3070
44,true,0.1020
45,true,0.1450
46,true,0.2650
47,true,0.4400
48,true,0.4520
49,true,0.4750
50,true,0.0730
51,true,3.5310
52,true,2.3630
53,true,0.3460
54,true,1.8720
55,true,1.0930
56,true,1.7420
57,true,0.0630
58,true,0.7370
59,true,0.0710
60,true,4.7570
61,true,0.6050
62,true,1.6480
63,true,1.3200
64,true,1.2750
65,true,6.6500
66,true,3.8600
67,true,0.3340
68,true,0.3830
69,true,0.5000
70,true,0.6250
71,true,5.4280
72,true,0.6130
73,true,0.6130
74,true,0.6150
75,true,3.1050
76,true,0.1380
77,true,6.7900
78,true,1.2510
79,true,1.0000
80,true,8.8070
81,true,7.1680
82,true,14.0280
83,true,7.8850
84,true,7.6020
85,true,0.0830
86,true,0.2790
87,true,5.2070
88,true,5.3050
89,true,7.5350
90,true,9.4080
91,true,6.0920
92,true,0.3540
93,true,0.1330
94,true,9.2510
95,true,0.5620
96,true,6.6230
97,true,5.4860
98,true,0.4090
99,true,5.2060
100,true,3.8820

STATISTIK
Total percobaan,100
Berhasil,100
Gagal,0
Success Rate (%),100.00
Rata-rata waktu (detik),2.8204
Waktu tercepat (detik),0.0630
Waktu terlama (detik),14.0280
